X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-0.56,-8.61,1.02,-2.40,0.43,-0.02
-0.65,-8.46,1.24,-2.11,0.34,-0.10
-0.68,-9.16,1.52,-1.71,0.24,-0.09
-0.68,-9.50,1.63,-1.30,0.05,-0.12
-0.75,-9.43,1.50,-0.93,-0.22,-0.07
-0.58,-9.48,1.06,-0.58,-0.37,0.04
-0.17,-9.64,0.47,-0.26,-0.27,0.17
0.29,-9.82,-0.01,0.06,0.09,0.23
0.65,-9.98,-0.28,0.37,0.57,0.20
0.75,-9.92,-0.28,0.65,0.99,0.10
0.87,-9.82,-0.06,0.92,1.21,-0.02
0.88,-9.82,0.28,1.19,1.17,-0.20
1.03,-10.15,0.52,1.46,0.86,-0.43
1.00,-10.48,0.53,1.64,0.32,-0.75
0.88,-10.51,0.42,1.70,-0.35,-1.07
0.50,-10.28,0.16,1.71,-0.97,-1.35
0.34,-10.16,-0.24,1.67,-1.40,-1.55
0.21,-10.04,-0.75,1.60,-1.55,-1.71
0.09,-9.89,-1.22,1.47,-1.45,-1.79
0.02,-10.00,-1.57,1.29,-1.13,-1.79
-0.01,-10.33,-1.74,1.07,-0.67,-1.75
-0.02,-10.79,-1.70,0.82,-0.18,-1.70
-0.04,-11.37,-1.45,0.57,0.27,-1.66
-0.10,-11.98,-0.99,0.37,0.60,-1.67
-0.24,-12.39,-0.45,0.26,0.78,-1.74
-0.45,-12.69,0.11,0.27,0.81,-1.84
-0.76,-12.95,0.70,0.44,0.71,-1.94
-1.16,-13.04,1.09,0.72,0.47,-1.99
-1.63,-12.90,1.20,1.02,0.11,-1.94
-2.05,-12.53,0.99,1.25,-0.30,-1.75
-2.24,-12.02,0.51,1.36,-0.62,-1.42
-2.25,-11.42,0.00,1.37,-0.73,-1.04
-2.05,-11.00,-0.41,1.36,-0.59,-0.67
-1.87,-10.68,-0.68,1.36,-0.24,-0.35
-1.75,-10.36,-0.73,1.34,0.15,-0.07
-1.72,-10.03,-0.59,1.32,0.46,0.19
-1.69,-9.80,-0.41,1.30,0.60,0.46
-1.46,-10.17,-0.32,1.25,0.56,0.68
-1.43,-10.34,-0.20,1.17,0.39,0.84
-1.46,-10.17,-0.12,1.11,0.13,1.04
-1.44,-10.06,-0.11,1.08,-0.15,1.26
-1.37,-10.13,-0.28,1.06,-0.43,1.49
-1.21,-10.33,-0.61,0.97,-0.66,1.71
-1.02,-10.43,-0.96,0.80,-0.79,1.93
-0.84,-10.37,-1.27,0.58,-0.80,2.13
-0.68,-10.27,-1.52,0.31,-0.72,2.34
-0.44,-10.47,-1.76,-0.02,-0.56,2.52
-0.10,-10.86,-1.89,-0.42,-0.34,2.65
0.20,-11.16,-1.74,-0.81,-0.10,2.69
0.39,-11.33,-1.41,-1.13,0.12,2.65
0.46,-11.37,-0.96,-1.36,0.20,2.53
0.43,-11.26,-0.50,-1.53,0.11,2.38
0.38,-11.06,-0.00,-1.60,-0.12,2.22
0.30,-10.73,0.45,-1.55,-0.46,2.06
0.17,-10.25,0.75,-1.37,-0.88,1.91
0.11,-9.88,0.82,-1.12,-1.35,1.79
0.16,-9.69,0.77,-0.86,-1.78,1.66
0.28,-9.67,0.66,-0.55,-2.12,1.51
0.45,-9.92,0.60,-0.19,-2.36,1.30
0.49,-10.12,0.58,0.19,-2.58,1.02
0.29,-10.11,0.54,0.55,-2.84,0.73
0.02,-9.86,0.30,0.83,-3.15,0.48
-0.22,-9.41,-0.06,1.01,-3.41,0.29
-0.40,-8.80,-0.50,1.14,-3.49,0.16
-0.52,-8.24,-0.94,1.21,-3.37,0.10
-0.58,-7.90,-1.38,1.18,-3.11,0.08
-0.57,-7.76,-1.67,1.01,-2.77,0.09
-0.57,-7.69,-1.67,0.76,-2.43,0.08
-0.69,-7.58,-1.53,0.44,-2.19,0.07
-0.83,-7.47,-1.36,0.07,-2.07,0.07
-0.93,-7.50,-1.17,-0.33,-2.02,0.09
-0.96,-7.73,-0.94,-0.70,-1.98,0.10
-0.97,-8.11,-0.57,-0.98,-1.92,0.09
-1.07,-8.45,-0.12,-1.14,-1.86,0.06
-1.26,-8.61,0.35,-1.19,-1.90,0.04
-1.60,-8.41,0.76,-1.16,-2.07,0.05
-1.98,-7.96,1.01,-1.09,-2.36,0.15
-2.19,-7.65,1.02,-0.97,-2.67,0.33
-2.18,-7.69,0.79,-0.85,-2.91,0.55
-1.95,-8.07,0.46,-0.73,-2.98,0.77
-1.63,-8.61,0.23,-0.63,-2.90,0.95
-1.29,-9.24,0.25,-0.50,-2.74,1.07
-1.05,-9.80,0.45,-0.32,-2.63,1.13
-0.94,-10.20,0.68,-0.10,-2.64,1.14
-0.84,-10.57,0.78,0.14,-2.80,1.13
