X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro
-8.99,4.24,1.36,0.02,0.16,-0.30
-9.07,4.18,1.37,0.02,0.14,-0.29
-9.17,4.15,1.48,0.01,0.12,-0.26
-9.20,4.13,1.58,0.01,0.09,-0.22
-9.11,4.13,1.63,0.01,0.05,-0.18
-9.01,4.17,1.59,0.02,0.03,-0.15
-8.97,4.23,1.51,0.02,0.04,-0.12
-8.96,4.27,1.45,0.02,0.06,-0.09
-8.96,4.29,1.40,0.03,0.09,-0.06
-9.02,4.30,1.43,0.03,0.11,-0.03
-9.09,4.30,1.51,0.03,0.12,0.00
-9.06,4.30,1.62,0.04,0.12,0.04
-9.00,4.31,1.70,0.05,0.11,0.08
-8.97,4.33,1.74,0.05,0.10,0.10
-8.97,4.34,1.70,0.06,0.09,0.14
-8.95,4.38,1.64,0.06,0.09,0.17
-8.93,4.40,1.61,0.06,0.09,0.20
-8.87,4.41,1.65,0.06,0.09,0.23
-8.85,4.42,1.71,0.07,0.10,0.25
-8.88,4.44,1.75,0.09,0.09,0.27
-8.88,4.47,1.76,0.10,0.07,0.30
-8.82,4.50,1.73,0.12,0.05,0.32
-8.72,4.52,1.72,0.13,0.03,0.34
-8.60,4.53,1.69,0.15,0.02,0.36
-8.48,4.55,1.68,0.16,0.02,0.37
-8.37,4.58,1.65,0.17,0.03,0.38
-8.24,4.60,1.66,0.18,0.04,0.39
-8.09,4.64,1.67,0.19,0.05,0.39
-7.96,4.69,1.63,0.20,0.05,0.39
-7.83,4.74,1.58,0.20,0.05,0.37
-7.77,4.83,1.58,0.20,0.05,0.35
-7.74,4.94,1.64,0.21,0.05,0.33
-7.69,5.12,1.71,0.21,0.05,0.32
-7.60,5.34,1.77,0.22,0.05,0.29
-7.48,5.56,1.85,0.24,0.05,0.27
-7.40,5.75,1.93,0.27,0.05,0.23
-7.39,5.89,2.07,0.31,0.03,0.20
-7.30,6.07,2.20,0.35,0.00,0.17
-7.06,6.29,2.25,0.39,-0.03,0.12
-6.73,6.57,2.28,0.44,-0.03,0.05
-6.37,6.89,2.21,0.48,0.01,-0.05
-6.03,7.17,1.95,0.52,0.09,-0.17
-5.94,7.41,1.64,0.56,0.21,-0.31
-6.28,7.49,1.23,0.60,0.37,-0.45
-6.81,7.38,0.93,0.63,0.56,-0.58
-7.34,7.24,0.85,0.66,0.71,-0.70
-7.93,7.19,0.76,0.68,0.78,-0.82
-8.68,7.15,0.52,0.69,0.82,-0.92
-9.57,6.94,0.11,0.69,0.86,-1.00
-10.54,6.42,-0.23,0.67,0.95,-1.04
-11.48,5.73,-0.66,0.66,1.08,-1.02
-12.39,5.14,-1.27,0.62,1.23,-0.94
-13.15,4.71,-2.00,0.57,1.31,-0.81
-13.64,4.27,-2.81,0.46,1.28,-0.66
-13.78,3.71,-3.63,0.30,1.19,-0.52
-13.93,3.02,-4.25,0.13,1.12,-0.38
-14.41,2.36,-4.65,-0.01,1.07,-0.21
-15.02,1.84,-4.98,-0.14,1.02,0.03
-15.25,1.40,-5.26,-0.27,0.92,0.33
-15.08,1.01,-5.62,-0.39,0.80,0.65
-14.85,0.78,-5.94,-0.52,0.69,0.96
-14.70,0.69,-6.02,-0.65,0.58,1.29
-14.41,0.68,-5.89,-0.78,0.44,1.64
-13.85,0.69,-5.63,-0.91,0.27,1.98
-13.17,0.76,-5.40,-1.02,0.11,2.28
-12.44,0.90,-5.21,-1.12,-0.01,2.53
-11.72,1.18,-5.03,-1.21,-0.08,2.72
-11.06,1.54,-4.73,-1.28,-0.10,2.85
-10.52,1.92,-4.30,-1.33,-0.08,2.93
-10.09,2.22,-3.83,-1.35,0.00,2.98
-9.79,2.50,-3.39,-1.36,0.14,3.00
-9.58,2.77,-2.94,-1.36,0.31,3.01
-9.40,2.95,-2.51,-1.33,0.47,3.01
-9.20,2.97,-2.11,-1.31,0.61,3.01
-8.96,3.00,-1.73,-1.29,0.70,3.00
-8.66,3.11,-1.38,-1.28,0.73,2.99
-8.35,3.13,-0.99,-1.27,0.71,2.98
-8.08,3.02,-0.71,-1.28,0.63,2.98
-7.76,2.90,-0.65,-1.31,0.52,2.99
-7.31,2.93,-0.54,-1.35,0.39,3.01
-6.72,2.96,-0.48,-1.41,0.22,3.02
-6.03,2.89,-0.47,-1.49,0.05,3.03
-5.36,2.79,-0.48,-1.58,-0.11,3.02
-4.82,2.63,-0.51,-1.67,-0.22,3.02
-4.31,2.42,-0.65,-1.76,-0.30,3.02
-3.72,2.29,-0.71,-1.87,-0.34,3.03
-3.15,2.20,-0.52,-1.98,-0.36,3.02
-2.73,2.04,-0.21,-2.07,-0.35,3.02
-2.56,1.84,0.23,-2.16,-0.33,3.03
-2.55,1.65,0.61,-2.23,-0.36,3.07
-2.62,1.66,1.01,-2.35,-0.45,3.19
-2.19,1.47,1.39,-2.48,-0.62,3.40
-1.49,1.28,1.61,-2.60,-0.76,3.59
-0.96,1.21,1.77,-2.71,-0.89,3.74
-0.69,1.20,2.00,-2.81,-1.01,3.89
-0.57,0.97,2.38,-2.91,-1.16,4.04
-0.48,0.51,2.75,-3.01,-1.36,4.20
-0.16,-0.17,2.94,-3.11,-1.54,4.38
0.24,-0.94,2.84,-3.19,-1.63,4.57
0.51,-1.74,2.64,-3.25,-1.62,4.76
0.57,-2.49,2.61,-3.31,-1.57,4.95
0.55,-3.30,2.88,-3.37,-1.58,5.15
0.65,-4.28,3.70,-3.41,-1.72,5.36
1.10,-5.51,4.60,-3.40,-2.00,5.55
1.74,-6.81,5.20,-3.30,-2.35,5.69
2.51,-7.98,5.12,-3.14,-2.63,5.78
3.38,-8.86,4.56,-2.96,-2.78,5.85
4.45,-9.57,4.07,-2.78,-2.77,5.89
5.66,-10.25,4.33,-2.58,-2.71,5.88
