aX,aY,aZ,gX,gY,gZ
3.06,2.66,8.64,0.43,-0.21,0.29
3.06,2.69,8.39,0.46,-0.22,0.28
3.20,2.73,8.09,0.48,-0.20,0.27
3.35,2.76,7.86,0.51,-0.16,0.26
3.38,2.82,7.68,0.54,-0.10,0.23
3.26,2.92,7.48,0.56,-0.05,0.21
3.13,3.07,7.28,0.57,-0.02,0.20
3.11,3.22,7.08,0.56,0.00,0.21
3.23,3.34,6.91,0.53,0.01,0.20
3.39,3.41,6.76,0.50,0.02,0.18
3.59,3.44,6.63,0.47,0.02,0.16
3.80,3.42,6.59,0.43,0.04,0.13
3.91,3.43,6.62,0.41,0.06,0.08
3.90,3.47,6.61,0.39,0.09,0.03
3.85,3.49,6.59,0.37,0.12,-0.01
3.72,3.50,6.55,0.34,0.16,-0.05
3.48,3.54,6.48,0.31,0.19,-0.08
3.15,3.62,6.49,0.26,0.20,-0.09
2.86,3.73,6.65,0.19,0.18,-0.07
2.80,3.79,6.90,0.12,0.13,-0.02
3.03,3.77,7.18,0.06,0.09,0.03
3.40,3.78,7.39,0.03,0.06,0.05
3.75,3.85,7.52,0.01,0.05,0.06
4.02,3.94,7.65,-0.01,0.02,0.06
4.23,3.96,7.89,-0.02,-0.01,0.05
4.38,3.94,8.16,-0.01,-0.04,0.03
4.49,3.97,8.33,0.04,-0.05,0.00
4.62,4.04,8.36,0.09,-0.04,-0.03
4.68,4.12,8.31,0.15,-0.03,-0.10
4.58,4.24,8.23,0.20,-0.03,-0.17
4.42,4.34,8.15,0.25,-0.02,-0.23
4.31,4.40,7.99,0.30,-0.00,-0.28
4.26,4.43,7.74,0.35,0.03,-0.33
4.22,4.42,7.41,0.38,0.09,-0.39
4.07,4.42,7.07,0.41,0.15,-0.44
3.83,4.45,6.80,0.41,0.20,-0.49
3.51,4.51,6.67,0.40,0.23,-0.51
3.24,4.54,6.70,0.38,0.22,-0.52
3.05,4.56,6.78,0.37,0.21,-0.52
2.91,4.58,6.90,0.37,0.20,-0.52
2.80,4.62,6.96,0.38,0.17,-0.52
2.73,4.65,6.98,0.38,0.12,-0.52
2.70,4.62,6.98,0.38,0.07,-0.52
2.73,4.60,6.99,0.39,0.03,-0.52
2.83,4.61,6.97,0.42,0.02,-0.53
2.95,4.65,6.91,0.45,0.03,-0.55
3.05,4.70,6.86,0.48,0.05,-0.57
3.06,4.76,6.88,0.51,0.08,-0.60
2.98,4.86,6.94,0.54,0.11,-0.64
2.83,5.01,6.90,0.58,0.14,-0.66
2.62,5.18,6.85,0.60,0.15,-0.67
2.43,5.37,6.73,0.61,0.14,-0.67
2.24,5.55,6.61,0.60,0.11,-0.65
2.14,5.70,6.45,0.56,0.07,-0.62
2.16,5.77,6.24,0.51,0.05,-0.59
2.29,5.75,6.07,0.44,0.04,-0.56
2.36,5.68,5.94,0.38,0.05,-0.54
2.28,5.66,5.84,0.32,0.08,-0.52
2.13,5.66,5.76,0.26,0.10,-0.49
2.00,5.66,5.77,0.19,0.12,-0.45
1.96,5.60,5.88,0.12,0.13,-0.42
1.90,5.50,6.08,0.06,0.12,-0.40
1.78,5.44,6.33,0.03,0.11,-0.38
1.71,5.39,6.52,0.01,0.09,-0.35
1.71,5.37,6.67,0.01,0.06,-0.33
1.77,5.40,6.78,0.01,0.04,-0.32
1.85,5.42,6.92,0.03,0.03,-0.31
1.92,5.42,7.01,0.05,0.03,-0.32
2.00,5.39,7.05,0.09,0.04,-0.32
2.02,5.40,7.10,0.13,0.06,-0.33
1.99,5.49,7.09,0.17,0.08,-0.34
1.91,5.62,7.07,0.21,0.09,-0.34
1.82,5.74,7.10,0.23,0.09,-0.33
1.80,5.83,7.11,0.26,0.09,-0.32
1.82,5.94,7.09,0.28,0.09,-0.31
1.83,6.09,7.07,0.31,0.08,-0.30
1.81,6.24,7.05,0.33,0.07,-0.28
1.78,6.34,6.95,0.37,0.06,-0.26
1.77,6.43,6.75,0.38,0.06,-0.25
1.79,6.46,6.62,0.36,0.04,-0.24
1.81,6.44,6.58,0.34,0.02,-0.25
1.78,6.41,6.57,0.34,0.01,-0.26
1.69,6.40,6.51,0.34,0.01,-0.26
1.55,6.43,6.40,0.35,0.02,-0.26
1.39,6.48,6.31,0.35,0.01,-0.24
1.29,6.55,6.27,0.36,0.01,-0.21
1.31,6.57,6.19,0.37,0.01,-0.17
1.38,6.57,6.05,0.38,0.01,-0.15
1.40,6.58,5.87,0.37,0.02,-0.14
1.35,6.62,5.67,0.35,0.03,-0.13
1.30,6.66,5.48,0.33,0.04,-0.12
1.27,6.70,5.38,0.30,0.05,-0.10
1.28,6.69,5.36,0.26,0.07,-0.08
1.27,6.64,5.40,0.23,0.07,-0.06
1.24,6.59,5.45,0.21,0.08,-0.05
1.17,6.56,5.48,0.20,0.07,-0.04
1.11,6.53,5.54,0.19,0.06,-0.03
1.13,6.50,5.59,0.18,0.05,-0.01
1.19,6.45,5.66,0.17,0.05,-0.01
1.25,6.38,5.69,0.18,0.05,-0.02
1.27,6.36,5.71,0.20,0.07,-0.02
1.31,6.35,5.72,0.22,0.10,-0.03
1.32,6.34,5.77,0.24,0.13,-0.03
1.25,6.39,5.80,0.27,0.16,-0.04
1.10,6.48,5.82,0.30,0.19,-0.04
0.97,6.61,5.79,0.33,0.20,-0.03
0.92,6.75,5.71,0.34,0.19,-0.00
0.96,6.84,5.65,0.34,0.18,0.03
1.05,6.90,5.61,0.34,0.17,0.05
1.11,6.95,5.57,0.33,0.15,0.07
1.16,6.98,5.49,0.33,0.14,0.08
1.18,7.01,5.39,0.33,0.14,0.09
1.19,7.06,5.27,0.32,0.15,0.11
1.22,7.10,5.21,0.30,0.16,0.12
1.26,7.13,5.22,0.28,0.16,0.14
1.27,7.16,5.26,0.27,0.17,0.14
1.30,7.15,5.30,0.27,0.19,0.16
1.35,7.14,5.33,0.28,0.21,0.17
1.40,7.22,5.27,0.30,0.22,0.18
1.47,7.32,5.22,0.32,0.23,0.19
1.52,7.40,5.11,0.31,0.22,0.18
1.57,7.48,5.04,0.29,0.20,0.17
1.61,7.52,4.98,0.26,0.19,0.15
1.66,7.54,4.94,0.24,0.18,0.13
1.72,7.56,4.91,0.22,0.18,0.11
