aX,aY,aZ,gX,gY,gZ
-15.24,2.86,5.06,-0.11,0.44,-1.00
-16.29,2.82,5.15,0.03,0.39,-0.74
-17.53,3.07,5.01,0.14,0.31,-0.34
-17.57,3.35,4.99,0.22,0.13,0.17
-16.73,3.70,4.73,0.29,-0.05,0.58
-15.93,4.07,4.52,0.36,-0.11,0.93
-15.30,4.24,4.33,0.43,-0.14,1.27
-14.78,4.24,4.13,0.47,-0.16,1.56
-14.27,4.21,3.93,0.50,-0.22,1.82
-13.60,4.17,3.69,0.53,-0.27,2.05
-12.82,4.13,3.43,0.55,-0.31,2.25
-12.01,4.05,3.20,0.56,-0.32,2.42
-11.24,3.94,3.01,0.57,-0.30,2.55
-10.52,3.80,2.77,0.58,-0.27,2.67
-9.83,3.61,2.50,0.59,-0.23,2.77
-9.20,3.39,2.31,0.59,-0.19,2.85
-8.62,3.12,2.19,0.60,-0.16,2.94
-8.05,2.81,2.15,0.61,-0.14,3.02
-7.46,2.50,2.07,0.62,-0.15,3.10
-6.90,2.24,2.01,0.64,-0.15,3.17
-6.50,2.03,1.96,0.66,-0.13,3.25
-6.24,1.76,1.99,0.69,-0.11,3.34
-5.97,1.43,1.82,0.72,-0.14,3.46
-5.54,1.33,1.62,0.72,-0.21,3.60
-4.86,1.41,1.50,0.73,-0.28,3.76
-3.81,1.48,1.31,0.74,-0.39,3.87
-2.71,1.60,1.07,0.76,-0.44,3.91
-1.94,1.78,0.93,0.77,-0.39,3.93
-1.50,1.97,0.82,0.75,-0.29,3.97
-1.18,2.09,0.90,0.71,-0.18,4.02
-0.75,2.05,1.15,0.64,-0.11,4.05
-0.24,1.97,1.40,0.57,-0.10,4.00
0.39,1.82,1.47,0.52,-0.14,3.94
1.13,1.58,1.47,0.47,-0.16,3.88
2.00,1.39,1.39,0.43,-0.14,3.85
2.84,1.44,1.20,0.39,-0.08,3.84
3.71,1.77,1.13,0.34,0.00,3.86
4.78,2.20,1.11,0.30,0.09,3.86
6.03,2.56,1.13,0.25,0.21,3.82
7.33,2.79,1.16,0.19,0.40,3.74
8.37,2.91,1.40,0.13,0.63,3.62
9.16,2.97,1.71,0.06,0.84,3.46
9.86,3.04,2.10,-0.01,1.04,3.26
10.52,3.22,2.63,-0.07,1.20,3.01
11.01,3.56,3.48,-0.11,1.29,2.73
11.37,3.99,4.55,-0.10,1.29,2.44
11.74,4.31,5.80,-0.03,1.14,2.15
12.28,4.47,6.65,0.09,0.89,1.85
13.21,4.66,6.82,0.21,0.64,1.52
14.48,5.19,6.46,0.31,0.45,1.17
15.85,6.17,6.03,0.36,0.37,0.78
16.86,7.33,5.78,0.40,0.37,0.37
17.26,8.29,5.71,0.41,0.44,-0.04
17.07,8.81,5.93,0.41,0.51,-0.42
16.47,9.01,6.21,0.42,0.49,-0.73
15.82,8.98,6.37,0.46,0.38,-0.98
15.12,8.87,6.17,0.51,0.19,-1.19
14.41,8.71,5.69,0.55,-0.01,-1.35
13.77,8.45,5.09,0.57,-0.20,-1.47
13.13,8.02,4.46,0.58,-0.36,-1.58
12.38,7.42,3.96,0.57,-0.48,-1.70
11.49,6.72,3.54,0.54,-0.60,-1.83
10.61,5.97,3.17,0.50,-0.70,-1.97
9.80,5.20,2.75,0.45,-0.78,-2.12
9.00,4.52,2.41,0.38,-0.84,-2.29
8.20,3.92,2.05,0.31,-0.88,-2.45
7.31,3.44,1.79,0.22,-0.89,-2.60
6.39,3.05,1.49,0.13,-0.89,-2.72
5.46,2.70,1.24,0.04,-0.89,-2.81
4.54,2.39,0.95,-0.06,-0.91,-2.87
3.73,2.12,0.67,-0.17,-0.93,-2.91
3.07,1.92,0.45,-0.29,-0.96,-2.95
2.54,1.78,0.23,-0.42,-1.00,-3.01
2.18,1.58,-0.01,-0.55,-1.02,-3.11
2.20,1.02,-0.15,-0.70,-1.02,-3.45
1.14,1.35,-0.16,-0.85,-1.03,-3.87
0.10,2.14,-0.22,-0.99,-1.04,-4.00
-0.17,2.69,-0.21,-1.15,-0.97,-3.96
-0.17,2.88,-0.05,-1.30,-0.82,-3.96
-0.45,2.92,0.17,-1.44,-0.62,-4.03
-1.02,3.10,0.45,-1.56,-0.37,-4.08
-1.77,3.30,0.99,-1.66,-0.09,-4.12
-2.72,3.45,1.74,-1.71,0.14,-4.14
-3.88,3.50,2.41,-1.70,0.28,-4.16
-5.18,3.53,3.00,-1.66,0.33,-4.18
-6.27,3.53,3.32,-1.59,0.30,-4.18
-7.33,3.67,3.37,-1.51,0.27,-4.17
-8.35,3.88,3.55,-1.42,0.33,-4.08
-9.03,4.18,3.63,-1.33,0.50,-3.94
-9.67,4.44,3.88,-1.24,0.78,-3.80
-10.74,4.60,4.44,-1.11,1.04,-3.65
-12.30,4.51,5.16,-0.95,1.23,-3.46
-14.19,4.35,5.75,-0.78,1.36,-3.21
-16.11,4.48,6.00,-0.62,1.33,-2.86
-17.58,4.99,5.79,-0.51,1.15,-2.43
-18.38,5.59,5.56,-0.42,0.86,-1.93
-18.62,5.88,5.30,-0.31,0.56,-1.41
-18.72,5.85,5.16,-0.21,0.35,-0.92
-18.72,5.76,5.20,-0.12,0.20,-0.44
-18.42,5.76,5.26,-0.04,0.05,0.03
-17.78,5.79,5.18,0.05,-0.08,0.49
-17.02,5.77,5.02,0.15,-0.17,0.91
-16.38,5.61,4.78,0.25,-0.22,1.30
-15.92,5.28,4.57,0.35,-0.22,1.67
-15.52,4.85,4.57,0.44,-0.23,2.05
-15.04,4.36,4.63,0.53,-0.25,2.42
-14.52,3.90,4.63,0.63,-0.25,2.79
-13.95,3.53,4.46,0.73,-0.25,3.15
-13.17,3.23,4.18,0.81,-0.28,3.50
-12.15,2.83,3.82,0.90,-0.36,3.83
-10.97,2.38,3.36,0.97,-0.44,4.13
-9.67,2.12,2.90,1.03,-0.54,4.38
-8.33,2.03,2.33,1.07,-0.64,4.57
-6.95,1.94,1.76,1.10,-0.74,4.71
-5.55,1.78,1.24,1.11,-0.78,4.81
-4.23,1.61,0.88,1.10,-0.75,4.87
-3.10,1.41,0.67,1.09,-0.64,4.90
-2.24,1.23,0.66,1.07,-0.45,4.92
-1.60,1.03,0.71,1.04,-0.25,4.95
-1.02,0.81,0.69,0.99,-0.05,4.98
-0.35,0.65,0.86,0.92,0.11,5.01
0.54,0.54,0.79,0.84,0.27,5.01
1.51,0.42,0.63,0.75,0.49,4.97
2.43,0.34,0.57,0.64,0.73,4.87
3.37,0.37,0.74,0.51,0.95,4.73
4.42,0.48,0.97,0.38,1.13,4.54
5.59,0.64,1.02,0.26,1.33,4.31
6.50,0.86,1.26,0.14,1.56,4.06
7.05,1.15,2.11,0.06,1.70,3.80
7.69,1.46,3.46,0.06,1.64,3.55
9.02,1.74,4.86,0.10,1.47,3.27
10.99,2.07,6.09,0.19,1.28,2.90
12.96,2.62,6.82,0.28,1.13,2.47
14.47,3.38,7.10,0.35,1.05,1.98
15.44,4.34,7.16,0.41,1.01,1.49
16.36,5.25,7.18,0.44,0.96,1.02
17.42,6.10,7.30,0.48,0.89,0.56
18.21,6.91,7.39,0.54,0.80,0.08
18.27,7.62,7.28,0.59,0.73,-0.35
17.63,8.15,7.02,0.65,0.64,-0.70
16.54,8.44,6.55,0.69,0.50,-0.96
15.36,8.56,5.81,0.70,0.33,-1.15
14.28,8.56,4.95,0.69,0.20,-1.29
13.22,8.49,4.27,0.65,0.10,-1.42
12.14,8.28,3.85,0.61,-0.01,-1.52
11.09,7.90,3.67,0.56,-0.17,-1.63
9.96,7.50,3.60,0.53,-0.41,-1.73
9.00,6.92,3.51,0.50,-0.69,-1.84
8.15,6.35,3.37,0.48,-1.03,-2.01
7.44,6.05,3.06,0.43,-1.34,-2.17
7.02,5.82,2.79,0.36,-1.60,-2.31
6.75,5.62,2.41,0.27,-1.77,-2.44
6.47,5.38,2.05,0.16,-1.85,-2.57
6.15,5.11,1.80,0.03,-1.86,-2.69
5.82,4.84,1.56,-0.11,-1.80,-2.79
5.49,4.55,1.30,-0.27,-1.69,-2.88
5.07,4.26,0.97,-0.43,-1.51,-2.97
4.55,3.99,0.77,-0.61,-1.31,-3.04
3.96,3.75,0.71,-0.77,-1.15,-3.10
3.17,3.52,1.13,-0.89,-1.10,-3.14
2.25,3.33,1.49,-0.94,-1.30,-3.16
1.45,3.14,1.26,-1.00,-1.56,-3.16
0.95,3.00,1.00,-1.08,-1.77,-3.20
0.93,2.90,0.69,-1.19,-1.80,-3.31
1.01,2.92,0.81,-1.32,-1.65,-3.48
0.84,2.97,1.01,-1.44,-1.31,-3.65
0.21,2.94,1.51,-1.56,-0.81,-3.77
-0.95,2.80,2.50,-1.63,-0.28,-3.83
-2.52,2.51,3.43,-1.62,0.13,-3.84
-3.69,1.48,4.17,-1.52,0.43,-4.03
-5.77,1.36,4.73,-1.32,0.49,-4.28
-7.53,1.77,4.93,-1.14,0.34,-4.23
-8.31,2.16,4.81,-0.96,0.22,-4.04
-9.07,2.74,4.72,-0.80,0.18,-3.90
-10.22,3.59,4.46,-0.67,0.20,-3.74
-11.33,4.51,4.13,-0.59,0.28,-3.51
-12.30,5.52,3.69,-0.55,0.41,-3.22
-13.04,6.46,3.68,-0.52,0.54,-2.91
-13.61,7.18,3.95,-0.49,0.60,-2.57
-14.07,7.54,4.33,-0.44,0.63,-2.19
-14.63,7.63,4.71,-0.38,0.62,-1.79
-15.37,7.57,4.95,-0.32,0.55,-1.36
-16.18,7.51,5.09,-0.25,0.43,-0.93
-16.79,7.43,5.06,-0.18,0.28,-0.47
-16.70,7.28,5.04,-0.10,0.13,-0.01
-16.50,7.14,4.93,-0.01,0.01,0.42
-16.14,7.00,4.92,0.09,-0.06,0.89
-15.50,6.81,4.93,0.20,-0.12,1.33
-14.74,6.64,4.91,0.31,-0.15,1.72
-13.90,6.40,4.83,0.43,-0.14,2.07
-12.96,6.14,4.63,0.56,-0.11,2.38
-11.90,5.94,4.26,0.67,-0.08,2.64
-10.86,5.79,3.78,0.74,-0.01,2.84
-9.89,5.71,3.54,0.81,0.11,3.03
-9.06,5.60,3.35,0.87,0.23,3.19
-8.36,5.37,3.12,0.92,0.34,3.34
-7.70,5.08,2.82,0.95,0.45,3.47
-7.05,4.88,2.59,0.96,0.53,3.59
-6.22,4.65,2.54,0.97,0.56,3.67
-5.62,4.11,2.17,1.02,0.53,3.67
-5.11,3.74,1.80,0.99,0.50,3.70
-4.49,3.59,1.41,0.93,0.52,3.76
-3.78,3.47,1.16,0.86,0.56,3.84
-3.07,3.23,0.82,0.76,0.64,3.91
-2.42,2.89,0.62,0.65,0.78,3.96
-1.90,2.57,0.67,0.53,0.92,4.01
-1.41,2.33,0.51,0.40,1.08,4.06
-0.87,2.21,0.38,0.23,1.30,4.09
-0.23,2.22,0.31,0.05,1.54,4.09
0.46,2.35,0.52,-0.16,1.80,4.02
1.10,2.47,1.07,-0.34,2.03,3.90
1.64,2.54,1.54,-0.51,2.21,3.77
1.95,2.48,1.82,-0.64,2.39,3.62
1.82,2.39,1.99,-0.75,2.57,3.50
1.53,2.25,2.51,-0.87,2.70,3.41
1.61,2.14,3.83,-0.94,2.69,3.32
2.74,2.07,5.50,-0.95,2.44,3.20
4.73,2.11,7.15,-0.91,2.12,2.97
6.95,2.28,8.43,-0.81,1.74,2.65
8.87,2.72,8.96,-0.70,1.43,2.31
10.49,3.43,9.12,-0.61,1.21,2.01
12.01,4.41,9.18,-0.53,1.06,1.75
13.42,5.51,9.44,-0.45,0.95,1.52
14.69,6.50,9.94,-0.36,0.84,1.29
15.71,7.26,10.38,-0.26,0.71,1.03
16.37,7.81,10.75,-0.14,0.54,0.76
16.76,8.25,10.91,-0.01,0.31,0.50
16.79,8.61,10.72,0.13,0.07,0.25
16.37,8.92,10.23,0.27,-0.16,0.01
15.61,9.12,9.55,0.38,-0.37,-0.22
14.65,9.23,8.79,0.48,-0.56,-0.44
13.56,9.45,7.88,0.55,-0.70,-0.61
12.97,8.68,7.51,0.62,-0.83,-0.84
11.42,8.48,6.89,0.71,-1.05,-1.17
9.89,8.80,6.24,0.75,-1.25,-1.26
9.06,8.95,5.64,0.76,-1.40,-1.21
8.83,8.66,5.09,0.74,-1.50,-1.18
8.76,7.98,4.71,0.71,-1.59,-1.28
8.48,7.34,4.32,0.66,-1.68,-1.47
8.06,6.94,4.10,0.60,-1.76,-1.67
7.74,6.60,3.76,0.51,-1.80,-1.85
7.35,6.15,3.49,0.41,-1.77,-2.04
6.90,5.52,3.04,0.30,-1.71,-2.22
6.41,4.80,2.54,0.18,-1.56,-2.40
5.88,4.16,2.12,0.05,-1.35,-2.57
5.29,3.71,1.89,-0.08,-1.13,-2.75
4.60,3.42,1.75,-0.19,-0.96,-2.92
3.82,3.21,1.49,-0.28,-0.83,-3.07
3.09,3.00,1.13,-0.37,-0.70,-3.15
2.49,2.81,0.82,-0.47,-0.56,-3.19
2.09,2.71,0.59,-0.58,-0.38,-3.20
1.93,2.74,0.50,-0.70,-0.16,-3.21
1.82,2.87,0.55,-0.82,0.06,-3.21
