MPU_Index,aX,aY,aZ,gX,gY,gZ
0,-5.24,0.47,-3.97,0.24,2.45,-4.37
1,-2.74,0.08,-3.38,-4.37,-2.55,0.54
0,-4.91,-2.32,-4.11,0.70,2.60,-4.37
1,-3.06,2.93,-5.63,-4.37,-2.43,0.76
0,-8.99,-4.31,-4.57,0.75,2.31,-4.37
1,-3.41,4.67,-10.44,-4.37,-2.19,0.69
0,-14.17,-3.88,-5.57,0.58,2.23,-4.37
1,-3.62,5.76,-15.50,-4.37,-2.29,0.41
0,-17.71,-3.17,-5.16,0.25,2.31,-4.37
1,-3.59,6.29,-17.82,-4.30,-2.09,0.23
0,-18.06,-3.66,-3.11,0.33,1.77,-3.56
1,-3.86,7.24,-18.20,-3.00,-1.20,0.57
0,-17.94,-5.23,-3.47,0.86,0.72,-2.35
1,-4.78,8.54,-19.01,-1.85,-0.13,1.18
0,-19.26,-6.25,-6.89,1.43,-0.09,-1.15
1,-7.72,9.82,-19.61,-0.63,0.33,1.58
0,-19.61,-8.20,-10.32,1.67,-0.38,-0.02
1,-10.78,11.16,-19.61,0.50,0.58,1.73
0,-19.61,-8.86,-14.21,1.67,-0.45,1.11
1,-12.72,11.23,-19.61,1.62,0.52,1.59
0,-18.75,-8.94,-15.60,1.36,-0.31,2.20
1,-13.23,10.35,-17.66,2.56,0.32,1.03
0,-16.10,-8.51,-15.37,0.46,-0.07,2.86
1,-11.86,8.06,-15.07,2.85,0.00,-0.08
0,-13.48,-8.29,-13.77,-0.74,0.20,2.71
1,-10.41,6.46,-13.18,2.40,-0.17,-1.20
0,-11.99,-6.95,-11.61,-1.66,0.31,2.22
1,-8.11,5.78,-12.02,2.15,-0.28,-1.82
0,-11.40,-4.95,-8.87,-1.97,0.29,2.30
1,-6.90,5.23,-11.48,2.45,-0.07,-1.91
0,-10.86,-3.96,-7.07,-2.00,-0.09,2.68
1,-5.66,4.54,-10.47,2.88,0.38,-1.93
0,-9.82,-3.12,-5.84,-2.02,-0.53,3.12
1,-4.41,3.54,-9.64,3.29,0.83,-1.90
0,-9.56,-2.20,-4.19,-1.86,-0.99,3.53
1,-2.63,3.17,-9.52,3.80,1.32,-1.60
0,-9.79,-1.11,-2.44,-1.50,-1.51,4.16
1,-1.46,2.44,-8.96,4.37,1.90,-1.21
0,-8.83,-0.20,-2.01,-1.09,-2.02,4.37
1,-0.96,1.44,-7.31,4.37,2.32,-0.88
0,-7.55,0.23,-1.28,-0.84,-2.41,4.37
1,-0.41,0.78,-6.13,4.37,2.73,-0.68
0,-7.26,0.98,-1.01,-0.64,-2.81,4.37
1,-0.58,-0.09,-5.13,4.37,3.15,-0.46
0,-6.15,1.29,-1.87,-0.45,-3.19,4.37
1,-1.19,-0.62,-3.71,4.37,3.44,-0.34
0,-4.97,0.91,-2.86,-0.39,-3.38,4.37
1,-1.52,-0.43,-2.41,4.37,3.53,-0.27
0,-3.94,0.69,-3.60,-0.25,-3.36,4.37
1,-1.57,-0.25,-1.87,4.37,3.39,-0.06
0,-3.83,0.82,-3.99,0.01,-3.08,4.37
1,-1.21,-0.57,-1.56,4.37,2.92,0.20
0,-2.92,1.16,-5.56,0.14,-2.30,4.37
1,-0.96,-2.05,1.07,4.37,1.69,0.10
0,0.62,1.42,-5.74,-0.18,-0.81,4.37
1,-0.37,-2.60,4.00,4.37,0.45,-0.23
0,3.98,1.86,-1.33,-0.24,-0.23,4.37
1,1.11,-3.41,6.94,4.37,0.38,-0.00
0,6.62,3.49,1.63,0.13,-0.45,4.37
1,2.04,-4.43,8.68,4.37,0.90,0.50
0,7.48,4.50,2.84,0.75,-1.23,4.37
1,0.94,-4.67,9.39,4.37,1.82,1.06
0,9.10,4.43,0.51,1.12,-2.01,4.37
1,0.44,-5.60,12.54,4.37,2.25,1.18
0,13.29,4.57,-1.81,1.02,-1.95,4.37
1,1.00,-7.38,18.32,4.37,1.70,0.86
0,19.61,5.18,-3.78,0.51,-0.87,4.18
1,1.59,-9.86,19.61,3.20,0.18,0.34
0,19.61,6.60,-4.46,0.15,0.73,2.12
1,-0.86,-13.30,19.61,0.90,-1.36,0.06
0,19.61,9.19,-5.52,-0.14,1.87,-0.18
1,-3.96,-14.48,19.61,-1.17,-1.99,-0.25
0,19.61,11.96,-5.93,-0.44,2.01,-1.78
1,-5.48,-14.41,19.61,-2.29,-1.74,-0.54
0,18.68,13.44,-5.42,-0.70,1.48,-2.51
1,-4.51,-14.02,16.87,-2.74,-1.17,-0.74
0,15.80,12.55,-3.67,-0.74,0.96,-2.92
1,-1.96,-13.00,15.22,-3.26,-0.73,-0.55
0,13.07,11.83,-1.92,-0.30,0.64,-3.41
1,-0.06,-11.96,12.55,-3.62,-0.54,-0.04
0,10.80,10.53,-0.18,0.29,0.60,-3.65
1,1.18,-10.42,10.34,-3.83,-0.55,0.59
0,9.06,9.44,0.14,0.75,0.60,-3.86
1,1.78,-9.18,9.22,-4.02,-0.53,0.82
0,8.02,8.20,0.40,0.78,0.54,-4.07
1,1.53,-8.23,7.98,-4.23,-0.40,0.67
0,6.55,7.62,0.81,0.50,0.30,-4.21
1,1.03,-7.27,6.73,-4.35,0.03,0.26
0,5.67,6.39,0.84,0.04,-0.21,-4.37
1,1.49,-5.98,5.55,-4.37,0.45,-0.11
0,4.36,5.67,0.94,-0.18,-0.52,-4.36
1,1.73,-5.24,4.52,-4.37,0.66,-0.19
0,3.37,5.27,0.24,-0.23,-0.67,-4.31
1,0.91,-5.19,3.38,-4.37,0.79,-0.28
0,2.46,4.62,-0.74,-0.35,-0.73,-4.37
1,0.28,-5.05,2.66,-4.37,0.70,-0.42
0,1.46,3.63,-1.98,-0.49,-0.48,-4.37
1,0.00,-4.23,1.47,-4.37,0.35,-0.54
0,-0.10,2.99,-4.25,-0.63,0.14,-4.37
1,-0.77,-3.57,0.57,-4.37,-0.67,-0.70
0,-1.46,1.06,-4.96,-0.73,1.32,-4.37
1,-0.36,-0.84,-1.44,-4.37,-1.85,-0.61
0,-3.60,-1.12,-3.53,-0.45,2.34,-4.37
1,-0.36,0.91,-3.12,-4.37,-2.55,-0.28
0,-6.22,-3.46,-1.41,-0.20,2.54,-4.37
1,-0.62,2.29,-6.06,-4.37,-2.38,-0.19
0,-8.82,-2.81,-2.29,-0.28,2.30,-4.37
1,-0.88,1.44,-8.06,-4.37,-2.28,-0.42
